Title,Sponsor,Submission Deadline,Award Amount,Description
Vanier Canada Graduate Scholarships,"Sponsor: SSHRC, CIHR, and NSERC",Unrestricted,"$50,000 per year for 3 years","The Vanier Canada Graduate Scholarships (Vanier CGS) program is designed to attract and retain world-class doctoral students by offering them a significant financial award to assist them during their studies at Canadian universities. Vanier Scholars demonstrate leadership skills and a high standard of scholarly achievement in the social sciences and humanities, natural sciences and engineering, and health-related fields."
IMT Institute for Advanced Studies PhD Scholarship,Sponsor: IMT Institute for Advanced Studies Lucca,"Arts, Visual & Performing, Computer & Information Systems, Engineering, Mathematics...","13,638 euros",IMT Institute for Advanced Studies is an international Graduate School and Institute of Technology instituted with the aim of forming highly-skilled human capital in disciplines characterized by their applicative potential.
Harry Levin Financial Aid,Sponsor: Instituto Franklin- UAH,Unrestricted,200 Euros,Instituto Franklin- UAH announces financial aid for attending conferences related to North- American Studies in Spain.
Creative Writing Camino Real,Sponsor: Instituto Franklin- UAH,Creative Writing,"$2,000",Instituto Franklin- UAH announces Creative Writing Camino Real Fellowship  to promote the creation of new literary works within the framework of Hispanics in the United States. The candidates must be North- American writers with Hispanic origins that has published at least three works individually.
Go Overseas Study & Intern Abroad Scholarship,Sponsor: Go Overseas,Unrestricted,$500,Go Overseas is proud to support international education through scholarships available to students participating in study and intern abroad programs. Scholarships are awarded twice per year. The scholarship is awarded based on the creativity of the photo submission and quality of the short essay response. View the link below for the most-up-to-date information.
Post-Doctoral Fellowships In Hellenic Studies,Sponsor: Princeton University,Classics and History,"$17,000 USD/semester","Fellowships are normally awarded annually on a competitive basis to young scholars in Hellenic Studies, with a special emphasis on Byzantine and/or Modern Greek Studies."
Ramapo College of New Jersey Presidential Scholarship,Sponsor: Ramapo College of New Jersey,Unrestricted,"$20,000 USD","$80,000 tuition scholarship for four years. ($20,000/year)"
ASA Scholarships,"Sponsor: Armenian Student Association of America, Inc.",Unrestricted,"$500 - $1,500 USD",Scholarships for college and graduate students offered by ASA.
Fulbright-Robertson Visiting Professor In British History,Sponsor: The US-UK Fulbright Commission and Westminster College,History,"$52,500 USD","This Award category, named in honour of the late Rev. William W. Robertson, provides a career-development opportunity for an exceptional, early-career British Historian to teach at Westminster College, Missouri, a small, selective liberal arts college for one academic year. The modest lecturing requirement will allow time for establishing a collaborative relationship with the US National Churchill Museum and Churchill Institute and for conducting personal research."
Fulbright-Deafness Research UK Award,"Sponsor: US-UK Fulbright Commission, Deafness Research UK",Medicine and Health Sciences and Sciences,"75,000 GBP","Each year, one award is offered in conjunction with Deafness Research UK to an academic individual to pursue laboratory based research into prevention, diagnosis or treatment of all forms of hearing impairment at any accredited US higher education institution. This Award is for a period of 12 months."
Fulbright-Royal Institution Of Chartered Surveyores Scholar Award,"Sponsor: US-UK Fulbright Commission, Royal Institution of Chartered Surveyors",Town and Country Planning,"2,750 GBP per month","Each year, one award is offered in conjunction with RICS (Royal Institution of Chartered Suveyors)  to an academic or outstanding UK professional to pursue research in property, land or the built environment, affiliated with any US institution. The appointment will be for a period of 3-10 months."
